text,true_label,category,sentence_id
"2: I... I was defending myself as best I could!  Everyone has the right to defend themselves, don't they?  Or should I have let myself be killed?
",1,Manipulative,S0
"1: Do you want to be questioned about you and Mr. Jimmy?  Please, Clayton.  It will be better if I find the body alone.
",1,Manipulative,S1
"1: Who else is paying for all this? You badmouth the woman all the time, but you sure do take the payoffs she gives you.
",1,Manipulative,S2
2: You won't get any water and you won't get any rest. You may as well drink.,1,Manipulative,S3
"2: Your freedom has cause more pain and suffering in the world than any plan I ever dreamed of. Face it, freedom failed.
",1,Manipulative,S4
"1: I still believe that we should pursue the organic marketing route. It's more sustainable in the long run.
",1,Manipulative,S5
"1: Now you've got to promise me faithfully you'll remain true to me forever. Then you'll see how tenderly your little birdie will love you.
",1,Manipulative,S6
1: I don't know. Maybe I'm a light sleeper.,1,Manipulative,S7
"2: No, I want my cut!
",1,Manipulative,S8
"1: Ok. This is what you get when you're a pervert -- you said you'd help someone out and you didn't so we're just getting some money for her and that's that.
",1,Manipulative,S9
"1: I don't wanna talk to you.
",1,Manipulative,S10
"1: It's not that big a deal.  We just didn't hit it off.
",1,Manipulative,S11
"2: Nothing, go back to sleep.",1,Manipulative,S12
"1: Because I'm in love with you.
",1,Manipulative,S13
2: Don't ask questions. Just be there.,1,Manipulative,S14
"1: That was a mistake, Juno. Mark is a married stranger. You overstepped a boundary.
",1,Manipulative,S15
"1: If Bain hadn't taken the contract on me, would you have?",1,Manipulative,S16
"2: When did that supposedly happen? I can't seem to remember.
",1,Manipulative,S17
"1: It's never too soon! Girls decide how far to let you go in the first five minutes.
",1,Manipulative,S18
"2: I was just kidding around.
",1,Manipulative,S19
"2: You should, Will. God's terrific!  He dropped a church roof on thirty- four of His worshippers in Texas last Wednesday night. Just as they were groveling to Him and singing a hymn.  Don't you think that felt good?  He wouldn't begrudge you two measly murders.
",1,Manipulative,S20
"2: It was an accident.
",1,Manipulative,S21
"2: You're probably right, and I probably won't find anything. I don't have a right to ask this, and you can kick me out of your house if you want, but this is my profession and there's a part of me that can't let it go.  Police are just as human as you or I.  They could have missed something.  They probably didn't.  Wouldn't you rather know?",1,Manipulative,S22
"1: All of this... certainly isn't your mother's fault, Donald.",1,Manipulative,S23
"1: Do you realize how paranoid you are?
",1,Manipulative,S24
"2: That's a bet--but I couldn't let you walk out like that, Sally. I'd have gone cuckoo back there--just thinking about you--",1,Manipulative,S25
"1: No, no.  It's not... are you still on the pill?
",1,Manipulative,S26
"1: Shut up!  I gave you... life. I created you in my image, Puff. I took you from this primordial ooze and brought you into the world of culture and art and manners. And this is how you repay me? By heading back to the ooze first chance you get? I should leave you here with Lila the ape woman. It would serve you right, you ungrateful piece of crap. But I'm not going to. You're too valuable to me. Totally selfish of me. You serve my purpose. But if you had any smarts you would realize that I serve your purpose as well. Life is so much more delightful when lived in a silk suit.
",1,Manipulative,S27
"1: Vincent.  Don't make me do this. Don't make me get people killed.
",1,Manipulative,S28
"1: Yet you're contradicting yourself. You earlier testified that you attended a meeting of a communist party-run organization, yet you just said, under oath, that you were not now -- nor ever -- a member of the communist party.
",1,Manipulative,S29
"2: Truman, stop it!",1,Manipulative,S30
"1: But you knew this was important to me.
",1,Manipulative,S31
"1: You won't cheat me will you? You'll stay with me. Help me. Then we can be together, the way we were before. We belong to each other now, for better or worse...",1,Manipulative,S32
"1: Nooo!  I would never do anything to hurt you.  I want you to come back to me.
",1,Manipulative,S33
"1: NO! They're not my delusions! Look, just leave my business with Becker to me!",1,Manipulative,S34
2: We're coming to Arcade.  Shall we Relive together?,1,Manipulative,S35
"1: Do you wanna make things easier on me?  Now tell me where you were because this is, this is bullshit.  You can say anything to me, I hope you still know that.
",1,Manipulative,S36
"1: Everyone agrees with me. We took a vote in the meeting you missed.
",1,Manipulative,S37
"1: I thought I was helping you.
",1,Manipulative,S38
1: You should glory in your animal nature.  It is your triumph!  None know that better than I!,1,Manipulative,S39
"1: Phil, I'm just scared he's gonna clam up on me with all these sheriffs all over the place. They hate him. He hates them. What kinda intimacy am I gonna create with all this hate in the air. Even you and I feel it.
",1,Manipulative,S40
2: Just forget it...,1,Manipulative,S41
"1: Do I look like I want a tiny pizza?
",1,Manipulative,S42
"2: YOU'RE A LIAR!
",1,Manipulative,S43
